anno_scuola8,INS_MAT8,female,stereotype_mat,stdinvalsi_mat8,confidence_mat,high_edu_mother,teacher_female_mat,t_N_mat,mate_mate,figli_mat,daughters_mat,t_age_mat,full_contract_mat,t_high_edum_mat
10,20401,1,1.6646481,-.34787762,,0,1,1,1,1,0,45,1,0
10,20401,1,1.6646481,.16771986,,0,1,1,1,1,0,45,1,0
10,20401,0,1.6646481,1.0700148,,0,1,1,1,1,0,45,1,0
10,20401,0,1.6646481,.038820375,,0,1,1,1,1,0,45,1,0
10,20401,0,1.6646481,-1.379072,,0,1,1,1,1,0,45,1,0
10,20401,0,1.6646481,.038820375,,0,1,1,1,1,0,45,1,0
10,20401,1,1.6646481,.16771986,,0,1,1,1,1,0,45,1,0
10,20401,0,1.6646481,1.0700148,,0,1,1,1,1,0,45,1,0
10,20401,1,1.6646481,-.86347485,,0,1,1,1,1,0,45,1,0
10,20401,1,1.6646481,.038820375,,0,1,1,1,1,0,45,1,0
10,20401,1,1.6646481,.29661912,,0,1,1,1,1,0,45,1,0
10,20401,0,1.6646481,-.99237412,,0,1,1,1,1,0,45,1,0
10,20401,1,1.6646481,-.34787762,,0,1,1,1,1,0,45,1,0
10,20401,1,1.6646481,-.090078883,,0,1,1,1,1,0,45,1,0
10,20401,0,1.6646481,-.34787762,,0,1,1,1,1,0,45,1,0
10,20401,0,1.6646481,-.34787762,,0,1,1,1,1,0,45,1,0
10,20401,1,1.6646481,-.34787762,,0,1,1,1,1,0,45,1,0
10,20401,0,1.6646481,-2.0235686,,0,1,1,1,1,0,45,1,0
10,20401,1,1.6646481,-1.8946693,,0,1,1,1,1,0,45,1,0
10,20401,0,1.6646481,-.47677687,,0,1,1,1,1,0,45,1,0
10,20401,0,1.6646481,-.99237412,,0,1,1,1,1,0,45,1,0
10,20401,0,1.6646481,-.090078883,,0,1,1,1,1,0,45,1,0
10,20401,1,1.6646481,-1.8946693,,0,1,1,1,1,0,45,1,0
10,20401,0,1.6646481,-2.0235686,,0,1,1,1,1,0,45,1,0
10,20401,1,1.6646481,-.47677687,,0,1,1,1,1,0,45,1,0
10,20402,1,-1.2102407,-.21897814,,0,1,1,1,2,0,63,1,1
10,20402,0,-1.2102407,.038820375,,0,1,1,1,2,0,63,1,1
10,20402,1,-1.2102407,-1.5079714,,0,1,1,1,2,0,63,1,1
10,20402,0,-1.2102407,-.090078883,,0,1,1,1,2,0,63,1,1
10,20402,1,-1.2102407,-1.379072,,0,1,1,1,2,0,63,1,1
10,20402,1,-1.2102407,-.47677687,,0,1,1,1,2,0,63,1,1
10,20402,1,-1.2102407,-.73457539,,0,1,1,1,2,0,63,1,1
10,20402,0,-1.2102407,-1.5079714,,0,1,1,1,2,0,63,1,1
10,20402,0,-1.2102407,-.47677687,,0,1,1,1,2,0,63,1,1
